2024-11-18 00:03:35,024 - INFO - Checkpoint directory: ./results/unbiased/linear/256
2024-11-18 00:03:35,024 - INFO - Configuration:
2024-11-18 00:03:35,024 - INFO - batch_sizes: [256, 128, 64, 32, 16, 8]
2024-11-18 00:03:35,024 - INFO - batch_size: 256
2024-11-18 00:03:35,025 - INFO - batch_size_evaluate: 64
2024-11-18 00:03:35,025 - INFO - num_epochs: 100
2024-11-18 00:03:35,025 - INFO - num_eval_epochs: 30
2024-11-18 00:03:35,025 - INFO - sim_coeff: 25.0
2024-11-18 00:03:35,025 - INFO - std_coeff: 25.0
2024-11-18 00:03:35,025 - INFO - cov_coeff: 1
2024-11-18 00:03:35,025 - INFO - lr_vicreg: 0.0008
2024-11-18 00:03:35,025 - INFO - lr_linear: 0.02
2024-11-18 00:03:35,025 - INFO - checkpoint_dir: ./results/unbiased/linear/256
2024-11-18 00:03:35,025 - INFO - backbone: resnet18
2024-11-18 00:03:35,025 - INFO - projection_head_dims: [512, 512, 512]
2024-11-18 00:03:35,025 - INFO - probe: linear
2024-11-18 00:03:35,025 - INFO - loss: unbiased
2024-11-18 00:03:35,025 - INFO - Running with batch_size=256
2024-11-18 00:03:35,070 - INFO - Using device: cuda
2024-11-18 00:03:35,071 - INFO - Setting up experiment...
2024-11-18 00:03:35,071 - INFO - Using ResNet18 backbone
2024-11-18 00:03:35,457 - INFO - Using unbiased VICReg loss
2024-11-18 00:03:35,458 - INFO - Setting up datasets and dataloaders
2024-11-18 00:03:36,869 - INFO - Created dataloaders with batch size 256 and evaluate 64
2024-11-18 00:08:10,492 - INFO - Epoch: 12, VICReg loss: 22.57947
2024-11-18 00:08:31,244 - INFO - Epoch: 13, VICReg loss: 22.57782
2024-11-18 00:08:52,295 - INFO - Epoch: 14, VICReg loss: 22.57536
2024-11-18 00:09:13,488 - INFO - Epoch: 15, VICReg loss: 22.57117
2024-11-18 00:09:34,438 - INFO - Epoch: 16, VICReg loss: 22.56864
2024-11-18 00:09:55,421 - INFO - Epoch: 17, VICReg loss: 22.56495
2024-11-18 00:10:16,614 - INFO - Epoch: 18, VICReg loss: 22.56271
2024-11-18 00:10:37,459 - INFO - Epoch: 19, VICReg loss: 22.55889
2024-11-18 00:10:58,889 - INFO - Epoch: 20, VICReg loss: 22.55517
2024-11-18 00:11:20,160 - INFO - Epoch: 21, VICReg loss: 22.55027
2024-11-18 00:11:41,118 - INFO - Epoch: 22, VICReg loss: 22.54657
2024-11-18 00:12:02,327 - INFO - Epoch: 23, VICReg loss: 22.54059
2024-11-18 00:12:23,587 - INFO - Epoch: 24, VICReg loss: 22.53394
2024-11-18 00:12:44,701 - INFO - Epoch: 25, VICReg loss: 22.52968
2024-11-18 00:13:05,618 - INFO - Epoch: 26, VICReg loss: 22.52671
2024-11-18 00:13:27,067 - INFO - Epoch: 27, VICReg loss: 22.51879
2024-11-18 00:13:48,400 - INFO - Epoch: 28, VICReg loss: 22.51205
2024-11-18 00:14:09,703 - INFO - Epoch: 29, VICReg loss: 22.50660
2024-11-18 00:14:31,002 - INFO - Epoch: 30, VICReg loss: 22.50848
2024-11-18 00:14:52,138 - INFO - Epoch: 31, VICReg loss: 22.49961
2024-11-18 00:15:13,418 - INFO - Epoch: 32, VICReg loss: 22.49294
2024-11-18 00:15:34,638 - INFO - Epoch: 33, VICReg loss: 22.48128
2024-11-18 00:15:55,875 - INFO - Epoch: 34, VICReg loss: 22.48162
2024-11-18 00:16:16,979 - INFO - Epoch: 35, VICReg loss: 22.47206
2024-11-18 00:16:38,240 - INFO - Epoch: 36, VICReg loss: 22.47014
2024-11-18 00:16:59,629 - INFO - Epoch: 37, VICReg loss: 22.46191
2024-11-18 00:17:20,497 - INFO - Epoch: 38, VICReg loss: 22.45408
2024-11-18 00:17:41,570 - INFO - Epoch: 39, VICReg loss: 22.45166
2024-11-18 00:18:02,882 - INFO - Epoch: 40, VICReg loss: 22.44493
2024-11-18 00:18:23,936 - INFO - Epoch: 41, VICReg loss: 22.43515
2024-11-18 00:18:45,377 - INFO - Epoch: 42, VICReg loss: 22.42922
2024-11-18 00:19:06,759 - INFO - Epoch: 43, VICReg loss: 22.42467
2024-11-18 00:19:27,974 - INFO - Epoch: 44, VICReg loss: 22.42703
2024-11-18 00:19:48,954 - INFO - Epoch: 45, VICReg loss: 22.41894
2024-11-18 00:20:09,932 - INFO - Epoch: 46, VICReg loss: 22.40642
2024-11-18 00:20:32,328 - INFO - Epoch: 47, VICReg loss: 22.40879
2024-11-18 00:20:53,417 - INFO - Epoch: 48, VICReg loss: 22.39925
2024-11-18 00:21:14,938 - INFO - Epoch: 49, VICReg loss: 22.38076
2024-11-18 00:21:36,238 - INFO - Epoch: 50, VICReg loss: 22.38210
2024-11-18 00:21:57,699 - INFO - Epoch: 51, VICReg loss: 22.36878
2024-11-18 00:22:18,826 - INFO - Epoch: 52, VICReg loss: 22.37529
2024-11-18 00:22:39,875 - INFO - Epoch: 53, VICReg loss: 22.36600
2024-11-18 00:23:01,082 - INFO - Epoch: 54, VICReg loss: 22.35819
2024-11-18 00:23:22,193 - INFO - Epoch: 55, VICReg loss: 22.35025
2024-11-18 00:23:43,434 - INFO - Epoch: 56, VICReg loss: 22.34867
2024-11-18 00:24:04,168 - INFO - Epoch: 57, VICReg loss: 22.34304
2024-11-18 00:24:25,185 - INFO - Epoch: 58, VICReg loss: 22.34621
2024-11-18 00:24:46,134 - INFO - Epoch: 59, VICReg loss: 22.34528
2024-11-18 00:25:06,984 - INFO - Epoch: 60, VICReg loss: 22.32698
2024-11-18 00:25:28,529 - INFO - Epoch: 61, VICReg loss: 22.32824
2024-11-18 00:25:49,676 - INFO - Epoch: 62, VICReg loss: 22.32004
